Date,NAV
2025-06-05,14.5551
2025-06-06,14.6841
2025-06-09,14.758
2025-06-10,14.7761
2025-06-11,14.764
2025-06-12,14.6077
2025-06-13,14.532
2025-06-16,14.6645
2025-06-17,14.6081
2025-06-18,14.5601
2025-06-19,14.4969
2025-06-20,14.6636
2025-06-23,14.5961
2025-06-24,14.6412
2025-06-25,14.7305
2025-06-26,14.8853
2025-06-27,14.9675
2025-07-07,14.9126
2025-07-08,14.9364
2025-07-09,14.9289
2025-07-10,14.8583
2025-07-11,14.7389
2025-07-14,14.727
2025-07-15,14.8227
2025-07-16,14.8215
2025-07-17,14.7867
2025-07-18,14.6976
2025-07-21,14.7704
2025-07-22,14.7421
2025-07-23,14.8155
2025-07-24,14.731
2025-07-25,14.5862
2025-07-28,14.4979
2025-07-29,14.6003
2025-07-30,14.6308
2025-07-31,14.5634
2025-08-01,14.4264
2025-08-04,14.5424
2025-08-05,14.5122
2025-08-06,14.4519
2025-08-07,14.4702
2025-08-11,14.4824
2025-08-12,14.4286
2025-08-13,14.5226
2025-08-18,14.6407
2025-08-19,14.6994
2025-08-20,14.7449
2025-08-21,14.7547
2025-08-25,14.6768
2025-08-26,14.5165
2025-08-28,14.375
2025-08-29,14.3316
2025-09-01,14.4879
2025-09-02,14.478
2025-09-03,14.5514
2025-09-04,14.5288
2025-09-05,14.5146
2025-09-09,14.5747
2025-09-10,14.649
2025-09-11,14.6672
2025-09-15,14.7171
2025-09-16,14.8115
2025-09-17,14.8822
2025-09-18,14.9158
2025-09-22,14.7994
2025-09-23,14.76
2025-09-24,14.6856
2025-09-25,14.5918
2025-09-29,14.4271
2025-09-30,14.4162
2025-10-01,14.5079
2025-10-10,14.7548
2025-10-13,14.7274
2025-10-14,14.6656
2025-10-15,14.7773
2025-10-16,14.9098
2025-10-23,15.0614
2025-10-27,
2025-10-28,
2025-10-29,15.1589
2025-10-30,15.0823
2025-11-03,15.0477
2025-11-06,14.8814
2025-11-10,14.9026
2025-11-11,14.9582
2025-11-12,15.0294
2025-11-13,15.0103
2025-11-18,15.0381
2025-11-19,15.1072
2025-11-20,15.1676
2025-11-21,15.0859
2025-11-25,14.9942
2025-11-26,15.1571
2025-11-27,15.1376
2025-12-01,15.1186
2025-12-02,15.0525
2025-12-03,14.9888
2025-12-08,14.9231
2025-12-09,14.9041
2025-12-10,14.8414
2025-12-11,14.9115
2025-12-15,15.0015
2025-12-16,14.9089
2025-12-17,14.871
2025-12-18,14.8794
2025-12-22,15.1021
2025-12-23,15.1148
2025-12-24,15.0959
2025-12-29,14.9973
2025-12-30,14.9662
2026-01-01,15.1096
2026-01-05,15.1905
2026-01-06,15.165
2026-01-07,15.1568
2026-01-08,15.0022
2026-01-09,14.8837
2026-01-13,14.8824
2026-01-14,14.8577
2026-01-19,14.8344
2026-01-20,14.5964
2026-01-21,14.5485
2026-01-22,14.639
2026-01-27,14.5444
2026-01-28,14.7175
